transaction_id,seller_id,transaction_date,month,gmv,commission_rate,commission_amount,shipping_fee,refund_amount,discrepancy_amount,net_payout,status,payment_method
TXN0000038,SLR00048,2024-12-09,2024-12,612.12,0.15,91.82,0,372.69,0.0,147.61,Processed,UPI
TXN0000039,SLR00019,2024-10-05,2024-10,3210.07,0.15,481.51,60,0.0,0.0,2668.56,Processed,UPI
TXN0000040,SLR00004,2024-11-17,2024-11,1545.32,0.15,231.8,100,0.0,0.0,1213.52,Processed,NEFT
TXN0000041,SLR00035,2024-12-14,2024-12,3386.69,0.08,270.94,0,0.0,0.0,3115.75,Processed,NEFT
TXN0000042,SLR00064,2024-12-10,2024-12,4873.15,0.12,584.78,60,0.0,0.0,4228.37,Processed,NEFT
TXN0000043,SLR00049,2024-10-19,2024-10,1628.1,0.15,244.21,60,0.0,0.0,1323.89,Processed,IMPS
TXN0000044,SLR00017,2024-11-25,2024-11,1297.7,0.12,155.72,0,0.0,0.0,1141.98,Pending,IMPS
TXN0000045,SLR00044,2024-10-17,2024-10,341.18,0.08,27.29,0,0.0,0.0,313.89,Processed,UPI
TXN0000046,SLR00092,2024-10-06,2024-10,11896.57,0.15,1784.49,0,0.0,0.0,10112.08,Pending,IMPS
TXN0000047,SLR00030,2024-11-09,2024-11,200.05,0.1,20.01,0,0.0,0.0,180.04,Processed,UPI
TXN0000048,SLR00093,2024-11-16,2024-11,1264.56,0.15,189.68,60,0.0,0.0,1014.88,Processed,IMPS
TXN0000049,SLR00046,2024-10-06,2024-10,2979.05,0.15,446.86,60,0.0,0.0,2472.19,Processed,IMPS
TXN0000050,SLR00117,2024-11-15,2024-11,3029.29,0.15,454.39,0,0.0,0.0,2574.9,Processed,IMPS
TXN0000051,SLR00006,2024-10-27,2024-10,274.21,0.12,32.91,100,0.0,0.0,141.3,Processed,IMPS
TXN0000052,SLR00099,2024-12-27,2024-12,662.56,0.1,66.26,60,0.0,0.0,536.3,Processed,IMPS
TXN0000053,SLR00105,2024-11-01,2024-11,420.42,0.08,33.63,60,0.0,0.0,326.79,Processed,IMPS
TXN0000054,SLR00037,2024-12-25,2024-12,101.85,0.12,12.22,0,0.0,0.0,89.63,Processed,NEFT
TXN0000055,SLR00024,2024-10-14,2024-10,1282.28,0.12,153.87,60,721.54,0.0,346.87,Pending,NEFT
TXN0000056,SLR00093,2024-11-15,2024-11,463.53,0.15,69.53,40,0.0,0.0,354.0,Processed,UPI
TXN0000057,SLR00113,2024-12-11,2024-12,6678.03,0.08,534.24,60,0.0,0.0,6083.79,Processed,NEFT
TXN0000058,SLR00046,2024-11-22,2024-11,2294.36,0.15,344.15,60,0.0,0.0,1890.21,Processed,IMPS
TXN0000059,SLR00053,2024-12-19,2024-12,1152.49,0.08,92.2,0,0.0,0.0,1060.29,Pending,RTGS
TXN0000060,SLR00095,2024-10-20,2024-10,621.89,0.15,93.28,100,0.0,0.0,428.61,Processed,IMPS
TXN0000061,SLR00099,2024-10-31,2024-10,1259.08,0.1,125.91,40,0.0,0.0,1093.17,Processed,NEFT
TXN0000062,SLR00060,2024-10-21,2024-10,806.7,0.12,96.8,40,0.0,0.0,669.9,Processed,NEFT
TXN0000063,SLR00097,2024-10-23,2024-10,1192.07,0.15,178.81,100,0.0,0.0,913.26,Processed,UPI
TXN0000064,SLR00116,2024-11-22,2024-11,10742.5,0.08,859.4,40,0.0,0.0,9843.1,Processed,NEFT
TXN0000065,SLR00063,2024-10-04,2024-10,305.6,0.15,45.84,60,0.0,0.0,199.76,Processed,NEFT
TXN0000066,SLR00085,2024-10-23,2024-10,895.72,0.12,107.49,60,0.0,0.0,728.23,Processed,IMPS
TXN0000067,SLR00032,2024-11-12,2024-11,2559.75,0.12,307.17,0,0.0,0.0,2252.58,Processed,NEFT
TXN0000068,SLR00087,2024-11-22,2024-11,678.46,0.15,101.77,100,0.0,0.0,476.69,Processed,RTGS
TXN0000069,SLR00033,2024-12-25,2024-12,7307.45,0.1,730.74,40,0.0,0.0,6536.71,Pending,IMPS
TXN0000070,SLR00067,2024-11-01,2024-11,2475.38,0.12,297.05,40,0.0,0.0,2138.33,Processed,UPI
TXN0000071,SLR00018,2024-11-04,2024-11,462.82,0.15,69.42,100,0.0,0.0,293.4,Processed,RTGS
TXN0000072,SLR00025,2024-10-21,2024-10,1400.92,0.15,210.14,60,0.0,0.0,1130.78,Processed,NEFT
TXN0000073,SLR00106,2024-12-29,2024-12,470.82,0.12,56.5,60,0.0,0.0,354.32,Processed,NEFT
TXN0000074,SLR00095,2024-10-14,2024-10,421.58,0.15,63.24,80,0.0,0.0,278.34,Processed,RTGS
TXN0000075,SLR00054,2024-11-18,2024-11,926.82,0.08,74.15,0,0.0,0.0,852.67,Processed,IMPS
TXN0000076,SLR00058,2024-10-05,2024-10,4996.6,0.12,599.59,0,0.0,0.0,4397.01,Pending,NEFT
TXN0000077,SLR00067,2024-11-30,2024-11,2682.58,0.12,321.91,0,0.0,0.0,2360.67,Processed,IMPS
TXN0000078,SLR00104,2024-10-29,2024-10,1067.32,0.15,160.1,80,0.0,0.0,827.22,Processed,UPI
TXN0000079,SLR00046,2024-10-26,2024-10,2800.14,0.15,420.02,0,0.0,0.0,2380.12,Processed,IMPS
TXN0000080,SLR00024,2024-11-28,2024-11,1513.75,0.12,181.65,40,0.0,0.0,1292.1,Processed,RTGS
TXN0000081,SLR00114,2024-11-14,2024-11,269.38,0.15,40.41,0,172.53,0.0,56.44,Processed,RTGS
TXN0000082,SLR00032,2024-11-09,2024-11,921.35,0.12,110.56,40,0.0,0.0,770.79,Processed,UPI
TXN0000083,SLR00047,2024-10-30,2024-10,1004.46,0.12,120.54,60,0.0,0.0,823.92,Processed,IMPS
TXN0000084,SLR00086,2024-10-29,2024-10,2735.39,0.12,328.25,100,0.0,0.0,2307.14,Processed,NEFT
TXN0000085,SLR00023,2024-10-04,2024-10,555.7,0.12,66.68,40,0.0,0.0,449.02,Pending,UPI
TXN0000086,SLR00066,2024-12-24,2024-12,366.79,0.15,55.02,40,0.0,0.0,271.77,Processed,IMPS
TXN0000087,SLR00027,2024-10-25,2024-10,1038.3,0.12,124.6,80,0.0,0.0,833.7,Processed,UPI
TXN0000088,SLR00106,2024-11-21,2024-11,505.47,0.12,60.66,40,0.0,0.0,404.81,Processed,RTGS
TXN0000089,SLR00002,2024-11-12,2024-11,743.81,0.08,59.5,100,0.0,0.0,584.31,Processed,NEFT
TXN0000090,SLR00090,2024-11-05,2024-11,995.2,0.15,149.28,60,0.0,0.0,785.92,Processed,RTGS
TXN0000091,SLR00017,2024-10-09,2024-10,692.53,0.12,83.1,40,0.0,0.0,569.43,Processed,IMPS
TXN0000092,SLR00104,2024-11-05,2024-11,3483.59,0.15,522.54,100,0.0,0.0,2861.05,Processed,IMPS
TXN0000093,SLR00033,2024-11-14,2024-11,5985.85,0.1,598.58,40,0.0,-26.12,5321.15,Discrepancy,NEFT
TXN0000094,SLR00009,2024-12-22,2024-12,3088.66,0.15,463.3,0,0.0,0.0,2625.36,Processed,UPI
TXN0000095,SLR00043,2024-12-05,2024-12,130.92,0.1,13.09,0,0.0,0.0,117.83,Processed,UPI
TXN0000096,SLR00118,2024-11-21,2024-11,507.57,0.12,60.91,100,0.0,0.0,346.66,Processed,IMPS
TXN0000097,SLR00048,2024-12-26,2024-12,885.03,0.15,132.75,80,0.0,0.0,672.28,Processed,IMPS
TXN0000098,SLR00039,2024-12-08,2024-12,119.64,0.15,17.95,40,0.0,0.0,61.69,Processed,IMPS
TXN0000099,SLR00093,2024-11-12,2024-11,383.34,0.15,57.5,80,0.0,0.0,245.84,Processed,UPI
TXN0000100,SLR00042,2024-10-04,2024-10,871.56,0.15,130.73,60,0.0,0.0,680.83,Processed,NEFT
TXN0000101,SLR00119,2024-10-15,2024-10,639.85,0.08,51.19,40,0.0,0.0,548.66,Processed,NEFT
TXN0000102,SLR00026,2024-11-03,2024-11,1108.08,0.15,166.21,60,0.0,0.0,881.87,Processed,NEFT
TXN0000103,SLR00099,2024-10-23,2024-10,209.14,0.1,20.91,60,0.0,0.0,128.23,Processed,NEFT
TXN0000104,SLR00050,2024-12-14,2024-12,631.22,0.12,75.75,60,0.0,0.0,495.47,Processed,IMPS
TXN0000105,SLR00025,2024-11-03,2024-11,1315.92,0.15,197.39,0,0.0,0.0,1118.53,Processed,IMPS
TXN0000106,SLR00024,2024-10-05,2024-10,1110.14,0.12,133.22,0,0.0,0.0,976.92,Processed,UPI
TXN0000107,SLR00013,2024-10-14,2024-10,1874.83,0.15,281.22,80,0.0,0.0,1513.61,Processed,IMPS
TXN0000108,SLR00060,2024-12-16,2024-12,1748.11,0.12,209.77,80,0.0,0.0,1458.34,Processed,UPI
TXN0000109,SLR00007,2024-11-25,2024-11,672.82,0.1,67.28,60,0.0,0.0,545.54,Processed,IMPS
TXN0000110,SLR00057,2024-11-14,2024-11,1266.66,0.1,126.67,80,0.0,0.0,1059.99,Processed,IMPS
TXN0000111,SLR00036,2024-11-10,2024-11,419.9,0.15,62.98,60,0.0,0.0,296.92,Processed,RTGS
TXN0000112,SLR00045,2024-11-25,2024-11,792.92,0.12,95.15,80,0.0,0.0,617.77,Processed,RTGS
TXN0000113,SLR00020,2024-12-17,2024-12,308.97,0.12,37.08,0,0.0,0.0,271.89,Processed,IMPS
TXN0000114,SLR00065,2024-12-05,2024-12,3938.32,0.12,472.6,40,0.0,0.0,3425.72,Processed,UPI
TXN0000115,SLR00008,2024-10-15,2024-10,789.82,0.08,63.19,40,0.0,0.0,686.63,Processed,RTGS
TXN0000116,SLR00110,2024-11-19,2024-11,3931.33,0.1,393.13,0,2552.13,0.0,986.07,Processed,NEFT
TXN0000117,SLR00016,2024-12-13,2024-12,1593.67,0.12,191.24,60,0.0,0.0,1342.43,Processed,IMPS
TXN0000118,SLR00014,2024-10-25,2024-10,378.87,0.12,45.46,100,0.0,0.0,233.41,Processed,IMPS
TXN0000119,SLR00076,2024-11-02,2024-11,1482.27,0.15,222.34,40,0.0,0.0,1219.93,Processed,IMPS
TXN0000120,SLR00115,2024-10-06,2024-10,2897.67,0.15,434.65,100,0.0,0.0,2363.02,Processed,RTGS
TXN0000121,SLR00087,2024-12-30,2024-12,999.15,0.15,149.87,60,0.0,0.0,789.28,Processed,NEFT
TXN0000122,SLR00015,2024-11-25,2024-11,1198.51,0.12,143.82,60,0.0,0.0,994.69,Processed,IMPS
TXN0000123,SLR00092,2024-10-01,2024-10,565.81,0.15,84.87,60,0.0,0.0,420.94,Processed,NEFT
TXN0000124,SLR00098,2024-12-06,2024-12,1128.82,0.15,169.32,0,0.0,0.0,959.5,Processed,NEFT
TXN0000125,SLR00066,2024-12-08,2024-12,1458.96,0.15,218.84,40,0.0,0.0,1200.12,Processed,IMPS
TXN0000126,SLR00032,2024-12-27,2024-12,547.53,0.12,65.7,60,0.0,0.0,421.83,Processed,UPI
TXN0000127,SLR00087,2024-12-25,2024-12,300.32,0.15,45.05,100,0.0,0.0,155.27,Processed,UPI
TXN0000128,SLR00063,2024-10-26,2024-10,5143.89,0.15,771.58,60,4999.03,0.0,-686.72,On Hold,NEFT
TXN0000129,SLR00086,2024-11-16,2024-11,2264.13,0.12,271.7,40,0.0,233.42,2185.85,Discrepancy,NEFT
TXN0000130,SLR00051,2024-11-25,2024-11,568.39,0.08,45.47,0,0.0,331.94,854.86,Discrepancy,IMPS
TXN0000131,SLR00025,2024-10-09,2024-10,1427.37,0.15,214.11,100,0.0,0.0,1113.26,Processed,NEFT
TXN0000132,SLR00058,2024-12-25,2024-12,185.99,0.12,22.32,40,0.0,0.0,123.67,Processed,NEFT
TXN0000133,SLR00063,2024-11-12,2024-11,102.26,0.15,15.34,100,0.0,0.0,-13.08,On Hold,RTGS
TXN0000134,SLR00062,2024-12-19,2024-12,4027.74,0.12,483.33,60,0.0,0.0,3484.41,Processed,IMPS
TXN0000135,SLR00022,2024-11-10,2024-11,1444.42,0.12,173.33,60,0.0,-55.81,1155.28,Discrepancy,IMPS
TXN0000136,SLR00058,2024-12-24,2024-12,1035.62,0.12,124.27,60,0.0,0.0,851.35,Pending,UPI
TXN0000137,SLR00058,2024-10-16,2024-10,1449.81,0.12,173.98,40,0.0,0.0,1235.83,Processed,IMPS
TXN0000138,SLR00086,2024-11-08,2024-11,52646.66,0.12,6317.6,60,29274.17,0.0,16994.89,Processed,UPI
TXN0000139,SLR00049,2024-12-04,2024-12,3111.67,0.15,466.75,60,0.0,0.0,2584.92,Processed,RTGS
TXN0000140,SLR00052,2024-11-09,2024-11,312.77,0.15,46.92,60,0.0,0.0,205.85,Processed,NEFT
TXN0000141,SLR00042,2024-12-25,2024-12,145.99,0.15,21.9,80,94.36,0.0,-50.27,On Hold,IMPS
TXN0000142,SLR00070,2024-11-22,2024-11,3887.19,0.08,310.98,0,0.0,0.0,3576.21,Processed,NEFT
TXN0000143,SLR00015,2024-11-11,2024-11,3063.51,0.12,367.62,60,0.0,0.0,2635.89,Processed,NEFT
TXN0000144,SLR00054,2024-11-21,2024-11,2186.53,0.08,174.92,0,0.0,0.0,2011.61,Processed,NEFT
TXN0000145,SLR00107,2024-12-29,2024-12,413.45,0.15,62.02,0,0.0,0.0,351.43,Processed,NEFT
TXN0000146,SLR00060,2024-11-07,2024-11,1695.86,0.12,203.5,60,0.0,0.0,1432.36,Processed,NEFT
TXN0000147,SLR00101,2024-12-10,2024-12,460.35,0.1,46.04,0,0.0,0.0,414.31,Processed,UPI
TXN0000148,SLR00097,2024-10-17,2024-10,2429.25,0.15,364.39,60,0.0,0.0,2004.86,Processed,IMPS
TXN0000149,SLR00008,2024-10-25,2024-10,3565.96,0.08,285.28,0,0.0,0.0,3280.68,Processed,IMPS
TXN0000150,SLR00053,2024-11-23,2024-11,571.25,0.08,45.7,40,0.0,0.0,485.55,Processed,NEFT
TXN0000151,SLR00060,2024-12-25,2024-12,4264.89,0.12,511.79,0,0.0,465.41,4218.51,Discrepancy,NEFT
TXN0000152,SLR00108,2024-11-18,2024-11,1258.69,0.15,188.8,0,0.0,0.0,1069.89,Processed,IMPS
TXN0000153,SLR00108,2024-12-26,2024-12,1978.8,0.15,296.82,80,1223.94,0.0,378.04,Processed,NEFT
TXN0000154,SLR00005,2024-10-23,2024-10,227.79,0.12,27.33,60,0.0,0.0,140.46,Processed,IMPS
TXN0000155,SLR00103,2024-12-18,2024-12,1449.04,0.12,173.88,100,0.0,0.0,1175.16,Processed,IMPS
TXN0000156,SLR00068,2024-12-12,2024-12,487.5,0.15,73.12,0,0.0,0.0,414.38,Processed,UPI
TXN0000157,SLR00006,2024-11-08,2024-11,1938.29,0.12,232.59,80,0.0,0.0,1625.7,Processed,UPI
TXN0000158,SLR00109,2024-11-21,2024-11,6377.91,0.12,765.35,60,3807.1,0.0,1745.46,Processed,IMPS
TXN0000159,SLR00096,2024-12-10,2024-12,1552.19,0.15,232.83,0,0.0,0.0,1319.36,Processed,RTGS
TXN0000160,SLR00116,2024-10-01,2024-10,372.03,0.08,29.76,60,0.0,0.0,282.27,Processed,RTGS
TXN0000161,SLR00094,2024-11-08,2024-11,2325.66,0.15,348.85,60,0.0,0.0,1916.81,Processed,NEFT
TXN0000162,SLR00047,2024-11-06,2024-11,1776.05,0.12,213.13,40,0.0,0.0,1522.92,Processed,RTGS
TXN0000163,SLR00099,2024-10-27,2024-10,12969.06,0.1,1296.91,60,0.0,0.0,11612.15,Processed,RTGS
TXN0000164,SLR00055,2024-11-25,2024-11,1487.37,0.15,223.11,40,0.0,0.0,1224.26,Processed,NEFT
TXN0000165,SLR00040,2024-12-14,2024-12,543.17,0.15,81.48,40,0.0,0.0,421.69,Processed,NEFT
TXN0000166,SLR00052,2024-12-17,2024-12,2764.93,0.15,414.74,40,0.0,0.0,2310.19,Processed,NEFT
TXN0000167,SLR00016,2024-12-23,2024-12,940.85,0.12,112.9,80,0.0,0.0,747.95,Processed,NEFT
TXN0000168,SLR00013,2024-11-11,2024-11,1207.49,0.15,181.12,40,0.0,0.0,986.37,Pending,UPI
TXN0000169,SLR00114,2024-11-29,2024-11,359.9,0.15,53.98,40,285.33,0.0,-19.41,On Hold,IMPS
TXN0000170,SLR00106,2024-11-26,2024-11,946.79,0.12,113.61,60,0.0,0.0,773.18,Processed,NEFT
TXN0000171,SLR00030,2024-11-26,2024-11,1137.93,0.1,113.79,80,0.0,0.0,944.14,Processed,NEFT
TXN0000172,SLR00019,2024-12-26,2024-12,940.1,0.15,141.01,60,0.0,0.0,739.09,Processed,NEFT
TXN0000173,SLR00017,2024-10-28,2024-10,539.66,0.12,64.76,0,0.0,0.0,474.9,Processed,NEFT
TXN0000174,SLR00120,2024-12-05,2024-12,1549.79,0.15,232.47,60,0.0,0.0,1257.32,Processed,NEFT
TXN0000175,SLR00063,2024-11-30,2024-11,362.07,0.15,54.31,40,0.0,0.0,267.76,Processed,UPI
TXN0000176,SLR00019,2024-10-22,2024-10,272.93,0.15,40.94,60,0.0,0.0,171.99,Processed,UPI
TXN0000177,SLR00092,2024-12-24,2024-12,2569.44,0.15,385.42,60,0.0,0.0,2124.02,Processed,RTGS
TXN0000178,SLR00058,2024-10-11,2024-10,2301.46,0.12,276.18,60,0.0,0.0,1965.28,Processed,UPI
TXN0000179,SLR00055,2024-11-06,2024-11,228.35,0.15,34.25,80,0.0,0.0,114.1,Processed,UPI
TXN0000180,SLR00090,2024-12-05,2024-12,122.06,0.15,18.31,60,0.0,0.0,43.75,Processed,NEFT
TXN0000181,SLR00101,2024-12-24,2024-12,326.85,0.1,32.68,60,0.0,0.0,234.17,Processed,IMPS
TXN0000182,SLR00090,2024-12-21,2024-12,940.15,0.15,141.02,40,0.0,0.0,759.13,Processed,IMPS
TXN0000183,SLR00117,2024-12-19,2024-12,4381.82,0.15,657.27,0,0.0,0.0,3724.55,Processed,RTGS
TXN0000184,SLR00062,2024-11-12,2024-11,912.97,0.12,109.56,100,0.0,0.0,703.41,Processed,UPI
TXN0000185,SLR00023,2024-10-12,2024-10,435.62,0.12,52.27,40,0.0,0.0,343.35,Processed,UPI
TXN0000186,SLR00009,2024-10-31,2024-10,1310.68,0.15,196.6,60,0.0,0.0,1054.08,Processed,NEFT
TXN0000187,SLR00012,2024-12-26,2024-12,956.4,0.08,76.51,80,0.0,0.0,799.89,Processed,NEFT
TXN0000188,SLR00117,2024-11-09,2024-11,209.1,0.15,31.36,0,0.0,0.0,177.74,Processed,NEFT
TXN0000189,SLR00001,2024-10-29,2024-10,210.59,0.12,25.27,80,0.0,0.0,105.32,Processed,NEFT
TXN0000190,SLR00058,2024-10-26,2024-10,217.49,0.12,26.1,80,0.0,0.0,111.39,Processed,UPI
TXN0000191,SLR00001,2024-10-19,2024-10,21500.29,0.12,2580.03,80,0.0,0.0,18840.26,Processed,IMPS
TXN0000192,SLR00111,2024-10-04,2024-10,3077.82,0.12,369.34,0,0.0,0.0,2708.48,Processed,NEFT
TXN0000193,SLR00034,2024-10-06,2024-10,537.83,0.08,43.03,60,0.0,0.0,434.8,Processed,IMPS
TXN0000194,SLR00096,2024-11-01,2024-11,4146.09,0.15,621.91,0,0.0,0.0,3524.18,Processed,NEFT
TXN0000195,SLR00118,2024-11-30,2024-11,554.65,0.12,66.56,60,0.0,0.0,428.09,Processed,RTGS
TXN0000196,SLR00048,2024-12-18,2024-12,3984.7,0.15,597.7,60,0.0,-493.58,2833.42,Discrepancy,IMPS
TXN0000197,SLR00089,2024-10-10,2024-10,1207.57,0.08,96.61,0,0.0,0.0,1110.96,Processed,IMPS
TXN0000198,SLR00104,2024-11-28,2024-11,497.39,0.15,74.61,60,0.0,0.0,362.78,Processed,NEFT
TXN0000199,SLR00109,2024-11-23,2024-11,2479.43,0.12,297.53,40,0.0,0.0,2141.9,Processed,IMPS
TXN0000200,SLR00117,2024-12-20,2024-12,1293.39,0.15,194.01,80,0.0,0.0,1019.38,Processed,NEFT
TXN0000201,SLR00001,2024-12-13,2024-12,1768.56,0.12,212.23,60,0.0,0.0,1496.33,Processed,NEFT
TXN0000202,SLR00016,2024-10-25,2024-10,1420.28,0.12,170.43,40,0.0,0.0,1209.85,Processed,UPI
TXN0000203,SLR00061,2024-12-31,2024-12,1402.51,0.12,168.3,40,0.0,-107.3,1086.91,Discrepancy,NEFT
TXN0000204,SLR00103,2024-12-29,2024-12,2865.98,0.12,343.92,80,0.0,0.0,2442.06,Processed,NEFT
TXN0000205,SLR00064,2024-11-19,2024-11,24356.85,0.12,2922.82,40,0.0,0.0,21394.03,Processed,IMPS
TXN0000206,SLR00063,2024-12-03,2024-12,4907.65,0.15,736.15,40,0.0,0.0,4131.5,Processed,UPI
TXN0000207,SLR00069,2024-11-21,2024-11,1427.35,0.1,142.73,0,0.0,0.0,1284.62,Processed,NEFT
TXN0000208,SLR00022,2024-11-01,2024-11,755.42,0.12,90.65,40,0.0,0.0,624.77,Processed,RTGS
TXN0000209,SLR00093,2024-10-19,2024-10,861.88,0.15,129.28,80,0.0,0.0,652.6,Processed,NEFT
TXN0000210,SLR00119,2024-12-23,2024-12,242.9,0.08,19.43,80,226.77,0.0,-83.3,On Hold,NEFT
TXN0000211,SLR00067,2024-12-28,2024-12,2434.39,0.12,292.13,0,0.0,0.0,2142.26,Pending,UPI
TXN0000212,SLR00076,2024-10-01,2024-10,324.44,0.15,48.67,40,0.0,0.0,235.77,Processed,UPI
TXN0000213,SLR00026,2024-10-14,2024-10,701.38,0.15,105.21,0,0.0,0.0,596.17,Processed,IMPS
TXN0000214,SLR00016,2024-11-24,2024-11,2451.41,0.12,294.17,100,0.0,0.0,2057.24,Processed,IMPS
TXN0000215,SLR00051,2024-10-29,2024-10,824.86,0.08,65.99,60,0.0,0.0,698.87,Processed,NEFT
TXN0000216,SLR00101,2024-10-23,2024-10,607.44,0.1,60.74,80,0.0,0.0,466.7,Processed,UPI
TXN0000217,SLR00086,2024-12-29,2024-12,260.61,0.12,31.27,60,0.0,0.0,169.34,Processed,IMPS
TXN0000218,SLR00057,2024-12-06,2024-12,4658.24,0.1,465.82,80,0.0,0.0,4112.42,Processed,RTGS
TXN0000219,SLR00029,2024-11-29,2024-11,403.48,0.15,60.52,100,0.0,0.0,242.96,Processed,IMPS
TXN0000220,SLR00078,2024-10-07,2024-10,542.91,0.1,54.29,0,0.0,0.0,488.62,Processed,IMPS
TXN0000221,SLR00092,2024-12-11,2024-12,127.73,0.15,19.16,100,0.0,0.0,8.57,Pending,UPI
TXN0000222,SLR00069,2024-11-01,2024-11,1070.81,0.1,107.08,80,0.0,0.0,883.73,Processed,RTGS
TXN0000223,SLR00047,2024-10-16,2024-10,735.13,0.12,88.22,40,0.0,0.0,606.91,Processed,UPI
TXN0000224,SLR00113,2024-11-28,2024-11,1364.07,0.08,109.13,80,0.0,0.0,1174.94,Processed,NEFT
TXN0000225,SLR00094,2024-10-18,2024-10,267.85,0.15,40.18,60,0.0,0.0,167.67,Pending,RTGS
TXN0000226,SLR00110,2024-11-29,2024-11,2646.56,0.1,264.66,80,0.0,0.0,2301.9,Processed,NEFT
TXN0000227,SLR00062,2024-12-25,2024-12,120.66,0.12,14.48,0,0.0,0.0,106.18,Processed,IMPS
